Age,Income,EducationYears,EmploymentStatus,Purchase
50,57398,16,0,1
55,56130,14,0,0
51,77931,17,1,1
42,91535,17,1,1
21,43846,12,0,1
35,70921,12,0,0
51,62397,14,0,1
22,99916,13,1,1
33,51831,13,0,1
20,84975,16,0,0
20,62242,14,1,1
30,65411,17,0,1
36,51209,17,0,0
31,48474,12,1,1
45,50671,16,1,1
42,41521,15,0,1
25,45463,16,0,0
23,80813,17,1,0
39,64510,17,0,0
26,75600,13,0,0
37,53964,12,1,1
36,57484,13,1,1
45,51576,17,1,1
54,66334,15,0,1
37,43628,12,1,1
44,56784,12,1,1
30,88826,14,1,0
46,54624,17,1,1
56,66169,12,1,1
50,88615,15,1,1
38,47490,17,0,0
20,62663,13,0,1
23,55016,14,1,0
54,83236,14,1,1
48,77304,12,0,1
30,60514,15,0,0
37,88006,14,1,1
28,61362,16,0,0
41,74294,15,1,1
47,97037,16,1,1
34,48751,13,0,0
44,99763,14,0,1
38,76470,13,0,1
54,60966,13,1,1
39,51960,15,1,1
48,85831,16,0,1
31,89326,12,1,0
38,51699,16,1,1
20,90065,13,0,1
58,45136,13,1,1
56,72672,16,0,0
21,72716,15,1,1
51,89581,12,1,1
52,84562,17,0,0
44,90832,15,0,0
20,40553,12,0,0
49,87935,13,1,1
54,42116,14,1,1
22,82465,14,0,0
38,83839,15,0,1
33,60335,12,0,0
28,56550,12,0,0
24,61739,12,0,0
39,95014,15,1,1
29,95687,17,0,1
49,79510,16,0,1
20,76806,15,0,1
58,83806,12,1,0
42,97814,16,1,1
45,96628,12,1,1
47,93938,17,0,0
37,54658,15,0,1
45,46156,13,0,0
31,47453,13,1,0
26,59003,16,1,1
24,75091,16,1,1
50,63832,15,0,1
28,92941,13,0,0
35,95124,14,0,1
39,82356,15,1,1
36,56119,12,1,1
52,82260,15,0,1
48,95868,12,0,1
30,59000,12,1,1
49,94697,15,1,1
33,63457,14,0,1
59,48990,13,1,1
55,83759,12,1,1
26,41547,16,0,1
26,59431,16,0,0
48,95961,14,0,0
33,70742,16,0,0
56,79349,17,0,1
58,93180,17,1,1
40,85391,17,1,1
47,46329,14,0,1
41,88768,14,1,1
55,86277,15,1,1
34,69301,15,1,1
54,86314,17,1,1
36,64101,14,0,1
34,84328,13,1,0
53,50410,14,1,1
40,96956,15,1,0
36,42998,17,1,1
50,94018,14,1,1
34,56040,14,0,1
41,77624,12,1,1
27,98052,15,0,1
53,54393,17,0,1
29,51305,15,1,0
21,88843,14,1,0
28,72241,17,1,1
25,68854,13,0,1
47,71908,17,1,1
42,83804,14,1,1
23,77812,16,0,0
39,46497,15,1,1
31,91721,17,1,1
24,65727,14,0,0
28,55107,12,0,0
56,79518,13,0,0
55,59403,15,1,1
35,88989,14,0,0
37,88751,17,1,1
41,45904,12,0,0
22,64174,17,0,1
47,55632,13,0,0
27,77535,17,0,1
46,42617,17,1,1
20,75115,17,1,0
52,62315,17,0,1
28,42433,17,1,0
27,61809,16,0,1
48,88335,17,1,0
47,48005,13,0,1
33,41979,15,1,1
40,40517,15,1,1
57,70176,16,1,1
37,94274,15,1,1
44,75601,17,0,0
40,96006,17,1,1
24,46815,16,1,1
32,57160,15,0,1
31,96409,17,0,1
30,40887,14,0,0
33,88218,16,0,1
31,72166,15,1,1
52,70977,15,1,1
48,44028,17,1,1
31,65367,15,0,1
59,68268,13,0,1
25,44879,15,0,1
53,85639,17,0,1
56,96010,13,1,1
53,99572,15,0,1
53,81403,16,1,1
26,60651,14,1,1
50,71084,13,0,1
58,73829,17,0,0
47,58891,14,1,1
34,50437,13,0,1
53,44474,16,0,1
46,46320,17,0,1
55,72735,15,0,1
43,55185,15,0,0
40,46244,15,0,0
23,84491,14,0,0
42,86425,17,0,1
25,75959,15,1,1
33,97482,12,1,1
51,44915,17,0,1
35,86158,14,1,1
25,53102,15,1,0
37,87266,17,1,1
58,43964,14,0,0
51,78080,14,0,1
44,97704,13,0,1
42,45518,17,0,1
37,71260,17,0,1
24,59550,13,0,0
37,91484,17,1,1
26,86705,13,0,0
41,45695,15,1,1
26,89516,12,1,1
50,77449,13,1,1
42,81371,12,0,1
42,43225,13,0,0
46,43164,16,0,0
33,50876,15,0,0
28,58813,14,1,1
32,72692,12,1,1
44,69557,16,0,0
43,80158,15,0,1
57,76174,12,0,1
29,85642,16,1,1
53,93041,15,0,0
48,49984,17,0,0
53,48747,15,1,1
30,49751,17,0,0
22,81312,15,1,0
47,99387,14,1,1
34,75314,13,0,1
46,97699,17,0,0
23,52387,15,0,0
39,65846,16,1,1
32,86305,14,0,0
46,53695,17,1,1
30,98264,14,1,1
44,84930,15,0,1
56,69365,17,0,0
57,68503,13,1,0
24,92749,14,0,1
23,99196,17,0,0
24,68163,16,0,0
29,47847,12,1,1
35,51143,16,0,0
55,60014,14,1,1
23,68261,16,1,1
26,85206,15,0,1
34,66824,17,0,1
44,69218,17,0,0
25,82687,13,1,0
28,83399,17,0,0
34,94963,15,0,0
28,78166,14,0,0
55,51185,17,0,1
41,83555,13,0,1
23,78084,15,0,1
58,94596,12,0,1
42,83801,12,1,0
25,77484,14,1,0
20,40481,16,1,0
41,70197,16,0,1
52,69636,17,0,1
27,61885,13,0,1
43,76361,16,1,1
24,65757,14,1,1
50,94116,14,0,1
33,83939,17,1,1
23,93430,13,1,1
24,98395,14,0,1
45,42561,14,0,0
38,69078,13,0,1
48,82696,12,1,1
36,44926,12,1,1
34,73256,17,1,1
56,61096,14,0,0
30,72440,12,0,1
59,69010,14,1,1
53,46767,14,1,1
45,67681,14,0,0
47,53329,14,0,1
35,91958,12,1,1
50,91957,17,1,1
41,58409,13,1,1
25,85292,17,0,0
40,44412,17,0,1
49,67636,15,0,1
53,82165,13,0,0
32,77454,16,0,1
32,68445,12,1,0
58,85375,12,1,0
45,74808,12,0,1
26,77803,12,0,0
54,55941,16,1,1
57,79024,15,1,1
58,71154,17,0,0
51,58857,13,1,1
26,71181,13,1,1
28,48620,17,1,1
50,50172,17,1,0
58,91716,14,0,0
50,43610,16,1,1
49,43235,17,0,1
50,61338,17,1,0
22,41993,16,0,1
40,40708,13,1,1
38,82342,15,0,1
44,68446,12,0,1
47,67624,14,0,1
52,53819,14,1,1
40,76605,15,1,0
57,58514,16,0,0
21,91146,12,1,1
58,80893,12,0,1
33,51440,12,1,0
33,73212,12,0,0
42,70222,16,0,1
25,53668,16,1,0
53,75081,12,1,1
23,41243,12,1,1
25,89812,17,0,1
50,98639,15,0,1
24,67970,17,1,0
56,74963,12,0,1
58,85846,16,0,1
21,51382,12,0,0
31,65984,12,0,1
39,81589,15,0,0
40,43290,13,1,0
35,45956,16,0,0
20,53349,12,1,1
58,70265,14,0,0
44,87350,13,0,0
45,71254,17,0,1
34,94329,15,0,0
36,42731,13,0,0
54,80508,17,1,1
49,40547,17,0,0
44,72204,17,1,1
45,96531,13,1,0
34,94905,16,0,1
48,90775,17,1,1
39,87131,17,0,1
28,52692,13,0,0
39,58603,13,0,1
52,88809,14,0,1
42,82096,13,1,1
36,85951,17,0,1
51,86653,15,1,1
24,70646,16,0,0
40,46454,15,1,1
33,62139,13,0,1
36,58708,12,0,0
33,65456,16,0,1
46,61762,17,1,1
52,63406,17,1,0
26,81209,15,0,1
57,82263,15,0,0
44,97506,13,1,1
29,73492,17,1,1
41,64715,16,0,0
40,63808,12,0,1
48,95489,14,0,1
35,50323,16,1,0
35,66119,16,0,0
32,91257,13,0,0
51,59092,17,0,0
33,58875,14,1,0
38,62970,13,1,1
45,53360,16,1,1
24,58251,14,0,0
25,86455,14,0,1
50,72968,14,0,0
28,67504,15,0,0
58,83812,13,1,1
22,54649,17,1,1
53,48676,12,1,1
54,73696,12,0,0
35,86763,14,0,1
54,49801,17,1,1
52,68869,12,1,0
23,60757,15,1,0
23,42950,14,1,1
41,57558,13,0,0
56,54221,15,0,1
26,82861,17,1,1
41,82436,17,1,1
34,85160,12,0,1
34,78376,16,0,1
37,57324,15,1,1
50,73172,13,0,1
39,98331,17,1,1
54,76849,14,0,1
52,66463,13,0,1
52,68274,16,1,1
49,49030,16,0,1
43,81289,14,1,1
26,66578,14,0,1
51,43196,14,1,1
42,75032,16,0,0
42,53579,13,1,0
52,70065,16,1,1
21,80018,16,0,1
40,58542,15,1,0
40,80197,17,1,1
33,62177,17,0,1
26,78526,13,0,0
57,84713,12,1,1
54,64573,16,0,1
57,42726,16,0,1
58,83030,15,0,1
40,60356,13,0,0
54,82336,16,0,1
30,94122,17,1,1
41,67941,14,0,1
50,98964,14,0,0
21,63549,14,1,0
26,52351,13,0,0
48,85830,17,0,1
32,86448,17,1,1
31,48605,12,0,0
32,40619,12,0,1
25,97503,17,0,1
40,44260,17,1,1
35,90235,14,1,1
36,54883,14,1,0
20,44398,15,1,1
45,83573,16,0,1
59,43837,13,1,1
56,86208,14,1,1
57,60209,12,1,1
49,44943,15,1,1
31,74937,13,0,0
46,87769,15,1,1
26,53219,15,1,1
42,49579,15,1,1
53,46978,14,1,1
49,76676,15,0,1
38,57706,16,1,1
46,98389,14,1,1
31,51663,13,1,1
41,49103,13,1,0
28,75252,12,1,1
52,75761,13,0,1
46,47750,14,0,1
35,81115,16,0,1
36,66093,13,1,1
20,42899,14,0,0
29,71855,16,1,1
27,64113,14,1,1
49,89245,17,1,1
55,91240,14,1,1
20,98648,12,0,1
52,54919,13,1,1
52,76006,14,1,1
34,70873,16,0,0
27,50476,17,0,1
54,74978,12,1,0
44,59847,12,1,0
54,65362,17,0,1
36,97224,13,1,1
30,95209,15,1,1
29,94998,13,1,1
31,48126,13,1,1
40,51071,14,1,1
39,44619,16,1,1
40,95531,12,0,1
52,44435,16,0,1
42,72078,15,1,1
43,40671,17,1,1
49,69062,12,0,0
43,79142,12,0,0
26,69653,17,1,1
25,99769,13,0,0
34,60426,17,0,1
31,83241,14,0,1
46,75891,17,0,0
32,73170,15,0,1
58,64753,16,0,1
55,91003,14,1,1
57,49457,16,0,0
53,73329,14,0,1
47,54804,17,0,1
44,52799,15,0,0
56,68780,14,0,1
52,69925,12,1,0
22,74998,15,0,1
22,57289,16,1,1
32,70585,13,1,0
43,70635,14,1,1
41,43651,15,0,1
27,57849,15,0,1
54,55871,16,0,0
51,83960,14,1,1
23,52931,13,1,0
26,99895,15,1,1
48,84994,15,1,1
38,56983,12,0,0
32,86652,16,0,1
21,86751,15,1,1
33,67122,17,1,1
28,94839,12,0,1
50,86499,15,0,1
35,52768,15,1,1
57,97716,14,0,1
48,83947,16,0,1
57,71493,16,0,0
52,96486,17,1,1
47,41537,16,1,1
49,56857,15,0,0
45,77481,17,1,1
56,50723,15,0,1
31,59624,16,0,1
38,92001,12,0,1
32,42477,12,0,0
41,73330,13,0,1
26,78607,17,0,0
29,93265,17,0,0
57,95322,12,0,1
57,58251,15,1,1
20,95960,13,0,0
25,89777,15,1,1
46,92340,17,0,1
56,47474,14,0,0
33,91464,12,1,1
34,60636,16,0,1
59,97645,17,1,1
38,52134,16,1,1
25,56550,14,1,1
42,50512,14,1,0
28,58447,15,0,0
55,57899,16,1,1
34,93106,13,1,1
29,43883,17,1,0
36,47898,12,0,0
38,64242,17,1,1
56,78405,16,1,1
49,57027,17,0,0
21,70320,16,0,1
59,85093,12,1,1
41,78615,12,0,1
55,81726,12,0,0
43,72435,17,1,1
24,55999,15,0,1
21,91576,14,1,1
41,60906,16,1,1
51,90952,17,0,1
55,85929,12,1,1
26,74491,14,1,1
22,56225,12,0,1
35,60541,13,1,0
59,79545,14,0,1
40,86138,14,1,1
52,73547,12,0,0
44,51376,12,1,1
54,83126,13,0,0
26,93071,15,0,1
29,62426,13,0,1
33,47902,13,0,1
29,66269,14,1,0
40,44306,12,1,0
33,58664,12,0,1
33,69801,14,1,1
32,58905,16,0,1
41,99528,16,1,1
57,54560,17,1,1
32,77938,15,0,1
34,82749,16,1,1
29,40460,16,0,1
59,49088,16,0,1
47,78936,12,0,1
57,75071,15,0,1
50,58326,16,0,1
39,90653,15,0,0
56,81873,14,0,1
41,41468,16,1,0
26,75819,14,0,0
55,84344,16,0,1
22,95199,14,0,1
58,60944,17,0,0
39,80407,17,1,1
24,50978,12,1,1
36,94489,13,1,1
37,59161,16,0,0
58,45960,16,0,0
33,90970,14,1,1
57,70675,13,0,1
45,90788,14,0,1
33,93107,13,0,1
41,86971,13,0,1
57,82275,14,0,1
24,57525,15,1,1
46,54285,12,0,1
42,77394,13,1,1
34,50105,12,0,0
34,41370,16,1,0
39,67303,17,1,1
45,88371,14,0,1
50,58381,13,1,0
56,46402,13,1,1
31,90899,15,1,1
50,88717,16,0,0
42,86036,12,1,1
21,94444,13,0,1
46,97391,16,1,1
36,68868,14,1,1
36,84371,13,1,1
52,51449,13,0,1
36,77418,14,1,1
25,95841,15,1,1
30,68267,14,1,1
31,66170,16,1,0
41,87633,17,0,0
56,83245,17,0,1
55,88743,13,1,0
42,81153,13,1,0
52,41505,17,0,1
52,63876,15,1,1
37,74798,14,0,0
33,73102,17,1,0
39,62083,13,1,1
41,88524,14,0,1
24,71679,15,1,1
44,93042,17,0,1
43,89096,16,1,1
21,41029,13,1,1
27,89273,15,0,1
30,71199,17,1,1
21,95334,13,1,1
42,46292,12,0,1
27,65083,14,0,0
29,98539,12,0,0
48,77150,16,1,1
39,64307,13,1,1
59,56210,13,1,1
25,96645,14,1,1
46,88633,14,1,1
28,73246,17,1,1
41,52815,15,0,0
37,73837,17,1,1
25,40852,13,0,0
34,41766,12,0,0
52,90546,17,0,0
57,81754,15,0,0
47,76787,12,1,1
50,54843,16,0,0
26,58226,12,0,1
32,95357,17,0,1
31,70257,14,1,1
47,67103,14,1,1
37,93823,12,1,1
38,93060,16,1,1
35,41268,16,1,1
24,85714,13,0,1
36,97940,17,1,1
59,55472,12,0,1
28,51677,16,1,1
31,96524,12,0,0
32,47765,15,1,1
56,92796,15,1,1
42,68978,16,1,1
41,99600,16,1,1
29,62130,16,0,0
32,42226,14,1,1
37,71935,14,0,1
43,55689,12,1,1
35,79782,16,1,1
23,85988,16,0,1
51,87615,16,0,0
31,70251,12,1,0
52,96694,14,1,1
35,65175,16,0,0
45,71490,16,0,0
35,72894,15,0,0
21,53513,14,0,0
49,51481,12,0,1
36,79784,12,0,1
49,42920,16,1,0
56,66333,16,1,1
49,59677,13,0,1
20,91757,12,1,0
59,42137,15,1,1
42,98666,15,0,1
22,60359,17,0,0
57,88697,15,0,1
39,74470,12,0,0
27,84795,17,0,0
34,73252,16,1,0
54,87035,14,0,0
50,43654,17,1,1
23,74321,14,1,1
30,96109,17,0,1
42,89530,12,1,1
43,73099,13,0,0
29,88498,12,0,1
53,88639,17,1,1
46,79242,17,0,1
28,72626,13,1,0
49,80937,15,1,1
48,77515,12,0,0
53,85199,15,0,1
38,74001,12,0,0
34,86935,14,0,0
22,72190,15,0,1
30,45409,15,0,0
45,53193,16,0,1
26,44552,15,0,0
48,86356,17,0,0
48,65199,15,0,1
36,56172,16,0,1
59,51389,12,1,1
41,93308,13,0,0
42,48269,13,0,0
38,43499,13,0,0
20,93846,17,1,1
28,93370,17,0,0
22,92207,12,1,1
29,54005,13,1,1
55,97375,14,1,1
33,70054,12,1,1
48,91848,15,0,1
41,59367,14,0,0
20,52558,16,0,1
39,59773,16,1,0
28,85511,14,0,0
54,61597,15,0,1
44,94793,17,1,1
30,42434,14,0,0
32,90074,13,0,0
25,95058,17,1,1
56,49416,13,1,0
28,96084,17,1,1
22,43520,13,1,0
44,87867,17,1,1
46,57162,12,0,0
38,89830,15,1,0
57,74910,13,1,1
35,90100,16,0,1
37,77540,13,0,1
35,64250,16,1,1
20,61616,17,0,0
52,70189,17,1,1
42,44375,15,0,1
55,46717,13,0,1
34,82429,13,1,1
52,66589,13,1,1
52,93406,14,0,1
33,59890,14,0,1
41,82177,17,0,0
42,72795,13,1,0
30,75224,14,1,1
41,43118,15,1,1
39,51044,17,0,1
21,90355,17,1,1
55,72037,13,1,0
36,64216,15,0,1
28,83587,12,0,1
23,88329,13,0,0
41,91726,16,1,1
35,42975,12,0,1
44,56308,12,1,0
49,62907,15,0,1
43,83759,15,1,1
20,60549,15,1,1
20,92771,15,0,1
53,76954,17,0,1
27,48876,17,0,1
47,52877,17,1,1
42,49690,12,1,1
46,86368,12,0,1
41,57525,15,1,1
56,55786,16,1,1
45,63151,14,0,1
47,86178,17,0,1
29,66063,12,0,0
49,86292,12,0,1
46,96543,15,1,1
29,95555,17,1,0
49,79697,13,0,1
30,92376,13,0,1
58,41401,16,1,1
42,80675,15,1,1
36,73222,13,1,1
40,85668,13,0,0
57,99700,17,0,1
47,91309,16,1,0
30,67605,17,1,0
59,97218,14,1,1
49,47587,15,1,0
25,68945,13,1,1
22,77649,16,0,0
